Door Model,Size,Glass Options,Jamb Sizes,Hinge Finish,Sill Finish,Handle Prep,Swing
Ridgeland,3/6 x 8/0 SA,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,,Seedy,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,,,,,,No Bore,Left Hand Outswing
,,,,,,Other (Please Specify),
,,,,,,,
Savannah 1lt,2/6 x 6/8 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,2/8 x 6/8 SS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,3/0 x 6/8 SS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,2/6 x 8/0 SS,,,,,No Bore,Left Hand Outswing
,2/8 x 8/0 SS,,,,,Other (Please Specify),
,3/0 x 8/0 SS,,,,,,
,5/0 x 6/8 DS,,,,,,
,5/4 x 6/8 DS,,,,,,
,6/0 x 6/8 DS,,,,,,
,5/0 x 8/0 DS,,,,,,
,5/4 x 8/0 DS,,,,,,
,6/0 x 8/0 DS,,,,,,
,,,,,,,
Savannah Full View,2/6 x 6/8 SS,Clear Flat (No Bevel),"4-9/16""",ORB (Flat Black),Bronze ,"Double Bore (Backset: 2-3/8""",Right Hand Inswing
,2/8 x 6/8 SS,,"6-9/16""",Satin Nickel,Nickel,GU Multipoint Lock System (Upcharge Applies),Left Hand Inswing
,3/0 x 6/8 SS,,Other (Please Specify),,,Single Bore,Right Hand Outswing
,2/6 x 8/0 SS,,,,,No Bore,Left Hand Outswing
,2/8 x 8/0 SS,,,,,Other (Please Specify),
,3/0 x 8/0 SS,,,,,,
,5/0 x 6/8 DS,,,,,,
,5/4 x 6/8 DS,,,,,,
,6/0 x 6/8 DS,,,,,,
,5/0 x 8/0 DS,,,,,,
,5/4 x 8/0 DS,,,,,,
,6/0 x 8/0 DS,,,,,,
